sq_mt_built,n_rooms,n_bathrooms,has_lift,has_parking,is_exterior,floor,energy_certificate,neighborhood,house_type,rent_price,buy_price
64,2,1,False,False,True,3,good,San Cristóbal,flat,471,85000
70,3,1,True,False,True,4,unknown,Los Ángeles,flat,666,129900
94,2,2,True,False,True,1,unknown,San Andrés,flat,722,144247
64,2,1,True,False,True,0,unknown,San Andrés,flat,583,109900
108,2,2,True,True,True,4,unknown,Los Rosales,flat,1094,260000
126,4,2,False,True,True,3,unknown,San Andrés,flat,901,195000
120,5,2,False,True,True,1,bad,San Andrés,flat,884,190000
125,3,2,False,False,True,2,unknown,San Andrés,flat,912,198500
85,2,1,False,False,True,7,unknown,Los Rosales,flat,672,131400
69,2,2,False,False,True,2,unknown,San Andrés,flat,617,118000
123,3,2,True,False,True,4,good,Los Rosales,flat,901,195000
109,3,2,True,False,True,3,bad,Los Ángeles,flat,933,205000
64,3,1,False,False,True,3,bad,San Cristóbal,flat,260,72000
115,3,1,False,False,True,1,unknown,Los Rosales,flat,867,184900
65,3,1,False,False,True,4,unknown,Los Ángeles,flat,494,90000
75,3,1,True,False,True,3,unknown,San Andrés,flat,666,129900
60,2,1,False,False,True,0,unknown,San Cristóbal,flat,516,94900
60,2,1,False,False,True,2,unknown,San Andrés,flat,493,89900
95,4,2,False,False,True,4,unknown,Los Ángeles,flat,724,144900
76,3,1,False,False,True,2,unknown,San Andrés,flat,583,110000
75,3,1,False,True,True,3,unknown,San Andrés,flat,698,138000
112,4,2,True,True,True,2,good,Butarque,flat,1148,280000
65,3,1,True,False,True,1,unknown,Los Rosales,flat,744,150000
70,2,1,False,False,True,3,bad,San Andrés,flat,728,145900
123,3,2,True,True,True,7,unknown,Los Rosales,flat,1195,298000
72,2,1,False,True,True,3,unknown,San Andrés,flat,698,138000
61,3,1,False,False,True,5,unknown,Butarque,flat,539,100000
71,3,1,False,False,True,1,unknown,San Andrés,flat,672,131400
87,3,1,False,False,True,2,bad,Los Rosales,flat,521,96000
125,3,3,True,False,True,7,good,Butarque,duplex,1135,275000
97,2,2,True,False,True,0,unknown,Butarque,flat,1111,266122
93,2,2,True,False,True,7,unknown,Butarque,flat,1004,228273
103,4,2,True,False,True,1,unknown,Los Ángeles,flat,823,171900
83,2,2,True,True,True,7,unknown,Butarque,attic,1004,228273
45,2,1,False,False,True,1,bad,Los Rosales,flat,471,85000
74,3,1,False,False,True,1,unknown,Los Ángeles,flat,702,139000
125,3,2,True,False,True,7,bad,Butarque,duplex,1128,272500
126,4,2,True,True,True,0,unknown,Butarque,flat,1135,275000
158,3,2,True,True,True,4,unknown,Butarque,attic,1172,289000
108,3,2,True,False,True,4,unknown,Los Ángeles,flat,847,179000
62,2,1,True,False,True,0,bad,San Andrés,flat,638,123000
51,2,1,False,False,True,3,unknown,Los Rosales,flat,492,89500
112,3,2,True,True,True,3,bad,Butarque,flat,1172,289000
109,3,2,True,True,True,2,unknown,Butarque,flat,968,216278
107,3,2,True,True,True,1,unknown,Butarque,flat,940,207503
76,2,2,True,True,True,3,unknown,Butarque,flat,790,162793
105,3,2,True,True,True,1,unknown,Butarque,flat,933,204999
109,3,2,True,True,True,4,unknown,Butarque,flat,982,220879
108,3,2,True,True,True,4,unknown,Butarque,flat,974,218258
109,3,2,True,True,True,0,unknown,Butarque,flat,1014,231855
76,2,2,True,True,True,4,unknown,Butarque,flat,793,163397
76,2,2,True,True,True,2,unknown,Butarque,flat,783,160759
108,3,2,True,True,True,3,unknown,Butarque,flat,970,217169
76,2,2,True,True,True,5,unknown,Butarque,flat,799,165208
